UNIX timestamp [s],Time UTC,Power [W]
1605185514,2020-11-12 12:51:54,-4.337693830479343
1605185574,2020-11-12 12:52:54,-4.334386184031312
1605185634,2020-11-12 12:53:54,-4.336258462994835
1605185694,2020-11-12 12:54:54,-4.334379687374823
1605185754,2020-11-12 12:55:54,-4.33195854049691
1605185814,2020-11-12 12:56:54,-4.338069079615104
1605185874,2020-11-12 12:57:54,-4.330161400239779
1605185934,2020-11-12 12:58:54,-4.33312144617327
1605185994,2020-11-12 12:59:54,-4.3323505878463555
1605186054,2020-11-12 13:00:54,-4.332648273836871
1605186114,2020-11-12 13:01:54,-4.340037902679331
1605186174,2020-11-12 13:02:54,-4.339345462439065
1605186234,2020-11-12 13:03:54,-4.353138094199424
1605186294,2020-11-12 13:04:54,-4.334388588552051
1605186354,2020-11-12 13:05:54,-4.3410144697764395
1605186414,2020-11-12 13:06:54,-4.325551891530149
1605186474,2020-11-12 13:07:54,-4.335231968788322
1605186534,2020-11-12 13:08:54,-4.329078537846757
1605186594,2020-11-12 13:09:54,-4.3352442510918205
1605186655,2020-11-12 13:10:55,-4.328145137117973
1605186715,2020-11-12 13:11:55,-4.337215544103025
1605186775,2020-11-12 13:12:55,-4.330235292734
1605186835,2020-11-12 13:13:55,-4.326373374971546
1605186895,2020-11-12 13:14:55,-4.329300979808379
1605186955,2020-11-12 13:15:55,-4.336294997918308
1605187015,2020-11-12 13:16:55,-4.335543975637854
1605187075,2020-11-12 13:17:55,-4.310452445372891
1605187135,2020-11-12 13:18:55,-4.348806637997973
1605187195,2020-11-12 13:19:55,-4.327817664464343
1605187255,2020-11-12 13:20:55,-4.342113800213819
1605187316,2020-11-12 13:21:56,-4.33365942092547
1605187376,2020-11-12 13:22:56,-4.332302567108061
1605187436,2020-11-12 13:23:56,-4.314278729334727
1605187496,2020-11-12 13:24:56,-4.328493758518953
1605187556,2020-11-12 13:25:56,-4.337576373881204
1605187616,2020-11-12 13:26:56,-4.326214450604335
1605187676,2020-11-12 13:27:56,-4.313308013086411
1605187736,2020-11-12 13:28:56,-4.330949858820976
1605187796,2020-11-12 13:29:56,-4.337541126487737
1605187856,2020-11-12 13:30:56,-4.327652865259694
1605187916,2020-11-12 13:31:56,-4.330564859597411
1605187976,2020-11-12 13:32:56,-4.332922229989153
1605188036,2020-11-12 13:33:56,-4.329348321636735
1605188096,2020-11-12 13:34:56,-4.330247360127403
1605188156,2020-11-12 13:35:56,-4.3376748396171605
1605188216,2020-11-12 13:36:56,-4.330461495494858
1605188276,2020-11-12 13:37:56,-4.324668645855247
1605188336,2020-11-12 13:38:56,-4.346317225600616
1605188396,2020-11-12 13:39:56,-4.34128173016498
1605188456,2020-11-12 13:40:56,-4.33888325114539
1605188516,2020-11-12 13:41:56,-4.338582034170697
1605188576,2020-11-12 13:42:56,-4.336416282642511
1605188636,2020-11-12 13:43:56,-4.346174470399948
1605188697,2020-11-12 13:44:57,-4.341259975117099
1605188757,2020-11-12 13:45:57,-4.337248986138081
1605188817,2020-11-12 13:46:57,-4.332425464563226
1605188877,2020-11-12 13:47:57,-4.322967858059043
1605188937,2020-11-12 13:48:57,-4.349569260230071
1605188997,2020-11-12 13:49:57,-4.320167127928105
1605189057,2020-11-12 13:50:57,-4.335287851709905
1605189117,2020-11-12 13:51:57,-4.324409011145641
1605189177,2020-11-12 13:52:57,-4.345162892638204
1605189237,2020-11-12 13:53:57,-4.33579311153876
1605189297,2020-11-12 13:54:57,-4.3303166360430225
1605189357,2020-11-12 13:55:57,-4.323741982896491
1605189417,2020-11-12 13:56:57,-4.324790598789492
1605189477,2020-11-12 13:57:57,-4.327722345864388
1605189537,2020-11-12 13:58:57,-4.3428747681575635
1605189597,2020-11-12 13:59:57,-4.329464254170538
1605189657,2020-11-12 14:00:57,-4.330728217792622
1605189717,2020-11-12 14:01:57,-4.331610999168372
1605189777,2020-11-12 14:02:57,-4.309002637280694
1605189837,2020-11-12 14:03:57,-4.331634521354485
1605189898,2020-11-12 14:04:58,-4.328411582012482
1605189958,2020-11-12 14:05:58,-4.319206295044442
